,Unnamed: 0,number_of_dialog,start_time,end_time,dialog,source,batch_id
146,146,149,"00:13:47,666","00:13:50,293",There were no white gangs in Venice Beach...,American History X (1998).csv,1324088689
147,147,150,"00:13:50,335","00:13:52,587",before Cameron Alexander and Derek Vinyard hooked up.,American History X (1998).csv,1324088689
148,148,151,"00:13:52,629","00:13:55,548",Alexander found in Derek his shining prince.,American History X (1998).csv,1324088689
149,149,152,"00:13:55,583","00:13:58,468","Essentially, he used Derek to recruit...",American History X (1998).csv,1324088689
150,150,153,"00:13:58,510","00:14:02,472","a slew of insecure, frustrated, and impressionable kids.",American History X (1998).csv,1324088689
151,151,154,"00:14:02,514","00:14:05,600","This kid Vinyard, he's got a lot of baggage...",American History X (1998).csv,1324088689
152,152,155,"00:14:05,642","00:14:09,604",as you'll see on this tape we've gotten courtesy of NBC.,American History X (1998).csv,1324088689
153,153,156,"00:14:16,236","00:14:18,738","Earlier today, L.A. County firefighter Dennis Vinyard...",American History X (1998).csv,1324088689
154,154,157,"00:14:18,780","00:14:21,408",was shot and killed battling a blaze...,American History X (1998).csv,1324088689
155,155,158,"00:14:21,449","00:14:23,326",at a suspected Compton drug den.,American History X (1998).csv,1324088689
156,156,159,"00:14:23,368","00:14:25,203",We're at the Vinyard home now...,American History X (1998).csv,1324088689
157,157,160,"00:14:25,245","00:14:27,163",and Lieutenant Vinyard's oldest son Derek...,American History X (1998).csv,1324088689
158,158,161,"00:14:27,205","00:14:29,290",has agreed to talk with us for a moment.,American History X (1998).csv,1324088689
159,159,162,"00:14:29,332","00:14:32,711","Derek, if you could come down here please for a second.",American History X (1998).csv,1324088689
160,160,163,"00:14:32,752","00:14:37,757","Look, I know this is tough, but how do you feel right now?",American History X (1998).csv,1324088690
161,161,164,"00:14:37,799","00:14:40,260",How do you think I feel?,American History X (1998).csv,1324088690
162,162,165,"00:14:40,302","00:14:43,228",- I think it's typical. - Typical how?,American History X (1998).csv,1324088690
163,163,166,"00:14:43,263","00:14:46,891","Well, this country's becoming a haven for criminals...",American History X (1998).csv,1324088690
164,164,167,"00:14:46,933","00:14:48,393",so what do you expect?,American History X (1998).csv,1324088690
165,165,168,"00:14:48,435","00:14:50,603",Decent hard-working Americans like my dad...,American History X (1998).csv,1324088690
166,166,169,"00:14:50,645","00:14:53,648",are getting rubbed out by social parasites.,American History X (1998).csv,1324088690
167,167,170_171,"00:14:53,690","00:14:59,279","Parasites? Blacks, browns, yellow, whatever.",American History X (1998).csv,1324088690
168,168,172,"00:14:59,321","00:15:00,864",I don't understand.,American History X (1998).csv,1324088690
169,169,173,"00:15:00,905","00:15:02,907",You think maybe your father's murder was race-related?,American History X (1998).csv,1324088690
170,170,174,"00:15:02,949","00:15:04,868","Yeah, it's race-related.",American History X (1998).csv,1324088690
171,171,175,"00:15:04,909","00:15:06,786",Every problem in this country is race-related.,American History X (1998).csv,1324088690
172,172,176,"00:15:06,828","00:15:09,831","Not just crime. It's immigration, AIDS, welfare.",American History X (1998).csv,1324088690
173,173,177,"00:15:09,866","00:15:12,834",Those are problems of the black community...,American History X (1998).csv,1324088690
174,174,178,"00:15:12,876","00:15:14,669","the Hispanic community, the Asian community.",American History X (1998).csv,1324088690
175,175,179,"00:15:14,711","00:15:16,087",They're not white problems.,American History X (1998).csv,1324088690
176,176,180,"00:15:16,129","00:15:18,548",Aren't those really issues that deal more with poverty?,American History X (1998).csv,1324088690
177,177,181,"00:15:18,590","00:15:22,427",No. They're not products of their environments.,American History X (1998).csv,1324088690
178,178,182,"00:15:22,469","00:15:24,304",Minorities don't give two shits about this country.,American History X (1998).csv,1324088690
179,179,183,"00:15:24,346","00:15:27,606","They come here to exploit it, not to embrace it.",American History X (1998).csv,1324088690
180,180,184,"00:15:27,641","00:15:30,352",Millions of white Europeans came here and flourished...,American History X (1998).csv,1324088691
181,181,185,"00:15:30,393","00:15:31,770",within a generation.,American History X (1998).csv,1324088691
182,182,186,"00:15:31,811","00:15:34,189",What the fuck is the matter with these people?,American History X (1998).csv,1324088691
183,183,187,"00:15:34,230","00:15:36,274",They have to go around shooting at firemen.,American History X (1998).csv,1324088691
184,184,188,"00:15:36,316","00:15:39,277",What does this have to do with the murder of your father?,American History X (1998).csv,1324088691
185,185,189,"00:15:39,319","00:15:41,738",Because my father was murdered doing his job!,American History X (1998).csv,1324088691
186,186,190,"00:15:41,780","00:15:44,157",Putting out a fire in a fucking nigger neighborhood...,American History X (1998).csv,1324088691
187,187,191,"00:15:44,199","00:15:45,992",he shouldn't have given a shit about.,American History X (1998).csv,1324088691
188,188,192,"00:15:46,034","00:15:48,244",He got shot by a fucking drug dealer...,American History X (1998).csv,1324088691
