number_of_dialog,start_time,end_time,dialog
319,"00:24:05,086","00:24:07,434","After this Brittle business is behind us,"
320,"00:24:08,879","00:24:10,148","you'll be a free man,"
321,"00:24:10,709","00:24:11,686","with a horse,"
322,"00:24:12,030","00:24:14,203",$75 in your back pocket...
323,"00:24:17,006","00:24:18,291",What's your plan after that?
324,"00:24:20,802","00:24:21,724","Find my wife,"
325,"00:24:23,227","00:24:24,256",and buy her freedom.
326,"00:24:26,790","00:24:27,835","Django,"
327,"00:24:29,105","00:24:31,198",I had no idea you were a married man.
328,"00:24:32,383","00:24:34,307",Do most slaves believe in marriage?
329,"00:24:35,953","00:24:37,166",Me and my wife do.
330,"00:24:38,376","00:24:40,165","Old Man Carrucan didn't, that's why were."
331,"00:24:41,450","00:24:42,271",We run off.
332,"00:24:43,724","00:24:45,032",Django.
333,"00:24:45,902","00:24:47,770","Django, Django."
334,"00:24:48,529","00:24:50,783","You got sand, Django."
335,"00:24:52,214","00:24:53,698",Boy's got sand.
336,"00:24:55,935","00:24:58,806",I got no use for a nigger with sand.
337,"00:25:00,584","00:25:03,671",I want you to burn a runaway R right here on his cheek.
338,"00:25:04,488","00:25:05,531","And the girl, too."
339,"00:25:07,424","00:25:10,140","And I want you to take them to the Greenville auction,"
340,"00:25:10,872","00:25:12,058",and sell them.
341,"00:25:13,054","00:25:14,049",Both of them.
342,"00:25:15,267","00:25:16,486",Separately.
343,"00:25:19,470","00:25:20,471",And this one...
344,"00:25:23,273","00:25:25,424",you will sell him cheap.
345,"00:25:27,944","00:25:29,265",In Greenville...
346,"00:25:32,161","00:25:34,953",there should be some sort of a records office.
347,"00:25:42,268","00:25:43,898",You know when she was sold...
348,"00:25:45,939","00:25:47,959","you know where she came from,"
349,"00:25:49,129","00:25:50,420",and you know her name.
350,"00:25:51,688","00:25:52,732",What is her name?
351,"00:25:53,880","00:25:54,777",Broomhilda.
352,"00:25:56,556","00:25:57,269",What?
353,"00:25:57,922","00:25:59,133",Broom-hilda.
354,"00:26:00,156","00:26:01,249",Broomhilda?
355,"00:26:04,341","00:26:05,463",Were her owners German?
356,"00:26:06,021","00:26:07,067","Yeah, how you know?"
357,"00:26:08,095","00:26:09,856",She wasn't born on the Carrucan plantation.
358,"00:26:09,858","00:26:11,116","She was raised by a German mistress,"
359,"00:26:11,210","00:26:12,097",the Von Shafts.
360,"00:26:12,383","00:26:13,747","She speak a little German, too."
361,"00:26:14,491","00:26:15,963",Your wife?
362,"00:26:16,510","00:26:18,565","When she was little, her mistress taught her so she'd have somebody"
363,"00:26:18,567","00:26:19,607",to speak German with.
364,"00:26:21,581","00:26:23,456","Well, let me get this straight."
365,"00:26:24,334","00:26:27,133","Your slave wife speaks German,"
366,"00:26:27,134","00:26:28,922",and her name is Broomhilda Von Shaft?
367,"00:26:29,089","00:26:29,849",Yep.
368,"00:26:34,378","00:26:35,971",They call me Hilda.
369,"00:26:53,697","00:26:56,776","When we gain access to these plantations,"
370,"00:26:57,261","00:26:59,050",we'll be putting on an act.
