number_of_dialog,start_time,end_time,dialog
300,"00:15:33,181","00:15:35,308",fucking shit!
301,"00:15:37,143","00:15:38,728",<i>Unbelievable.</i>
302,"00:15:38,812","00:15:41,272",<i>My first shitty day as a broker.</i>
303,"00:15:41,356","00:15:43,775","<i>Within a month, L.F. Rothschild,</i>"
304,"00:15:43,858","00:15:48,571","<i>an institution since 1899, closed its doors.</i>"
305,"00:15:48,947","00:15:51,074",<i>Wall Street had swallowed me up</i>
306,"00:15:51,157","00:15:53,535",<i>and shit me right back out again.</i>
307,"00:15:56,746","00:15:59,207",We could pawn my engagement ring if we needed to.
308,"00:15:59,290","00:16:00,792",- Babe... - Because I don't mind.
309,"00:16:00,875","00:16:01,960","If we needed to, I'm saying..."
310,"00:16:02,043","00:16:03,586",- Will you listen to me? - Okay.
311,"00:16:03,670","00:16:05,797",You're not pawning anything. Okay?
312,"00:16:05,964","00:16:07,257",- Okay. - What do I always tell you?
313,"00:16:07,340","00:16:08,466",You're gonna be a millionaire.
314,"00:16:08,550","00:16:11,052",That's right. Okay? Just let me look.
315,"00:16:11,177","00:16:12,220",We'll find something.
316,"00:16:12,637","00:16:13,972",- How about this? - What?
317,"00:16:14,055","00:16:16,516","Nobody Beats the Wiz, the electronics store."
318,"00:16:16,599","00:16:18,059",Stock boy. What do you think?
319,"00:16:18,226","00:16:19,394",You're not gonna work at that place.
320,"00:16:19,519","00:16:20,520","Yeah, but, you know, you start off..."
321,"00:16:20,603","00:16:21,688","Jordan, you're gonna be miserable at that place"
322,"00:16:21,771","00:16:22,814",- if you go there. - I know.
323,"00:16:22,897","00:16:25,108","It's sales. You work your way up, you'll be a general manager."
324,"00:16:25,191","00:16:26,985",- You're not gonna be a stock boy. - Why not?
325,"00:16:27,068","00:16:28,736",'Cause you're a stockbroker.
326,"00:16:28,820","00:16:31,197",You understand that nobody's hiring stockbrokers right now?
327,"00:16:31,281","00:16:32,740",You understand that?
328,"00:16:32,866","00:16:34,284",Okay?
329,"00:16:39,455","00:16:41,040",This place is.
330,"00:16:41,416","00:16:42,834",- What? - What's that say?
331,"00:16:42,917","00:16:44,127","""Stockbrokers."""
332,"00:16:45,879","00:16:46,880",In Long Island?
333,"00:16:46,963","00:16:48,548",- Stockbrokers in Long Island? - Yeah.
334,"00:16:48,631","00:16:50,341",<i>It's in Long Island. So what?</i>
335,"00:17:08,526","00:17:12,197","Hey, I'm looking for Investor's Center."
336,"00:17:13,323","00:17:15,116",What's that? You want to invest?
337,"00:17:15,491","00:17:18,286",No. Investor's Center. I'm looking for Investor's Center.
338,"00:17:18,369","00:17:22,040","Yeah, yeah, that's us. Hey. This is it. This is it."
339,"00:17:22,123","00:17:23,666",- I'm Dwayne. Yeah. - You're Dwayne?
340,"00:17:23,750","00:17:25,752","Hi, Dwayne. We spoke on the phone."
341,"00:17:25,877","00:17:27,295",I'm Jordan Belfort.
342,"00:17:27,378","00:17:29,631",I'm the broker from Rothschild in New York.
343,"00:17:29,714","00:17:31,799","Yes, yeah. Have a seat. How are you?"
344,"00:17:31,883","00:17:33,009",We had a conversation...
345,"00:17:33,092","00:17:34,344","We spoke on the phone earlier, right?"
346,"00:17:34,427","00:17:35,762",- Two hours ago. - Right.
347,"00:17:35,845","00:17:36,846",Yeah.
348,"00:17:39,474","00:17:40,975",They're up and comers. That's what that means.
349,"00:17:41,100","00:17:42,894","It's three cents a share, that's $3!"
350,"00:17:42,977","00:17:44,437",You cheap fuck!
351,"00:17:44,896","00:17:46,397",So...
352,"00:17:46,481","00:17:49,442",So where are your Quotrons here?
353,"00:17:49,567","00:17:51,402",- Quotrons? - Yeah. Your computers.
354,"00:17:51,486","00:17:52,779","No, no. We don't even need computers here."
355,"00:17:52,862","00:17:54,572",We just trade right off the pink sheets here.
356,"00:17:54,739","00:17:56,491","- Pink sheets? - Yeah, they're penny stocks."
357,"00:17:56,574","00:17:58,409","You know, companies that can't get listed on NASDAQ,"
358,"00:17:58,493","00:17:59,661",they don't have enough capital?
359,"00:17:59,827","00:18:00,870",Their shares trade here.
360,"00:18:00,954","00:18:02,664",- Penny stocks? - Yeah.
361,"00:18:02,747","00:18:05,625","This one, Aerodyne, is a really interesting..."
362,"00:18:05,708","00:18:07,085",Or Aerotyne...
363,"00:18:07,168","00:18:08,628","Aerotyne, yeah."
364,"00:18:09,003","00:18:10,338",Aero... Aerotyne...
365,"00:18:10,546","00:18:11,798",Aerotyne. Yeah.
366,"00:18:11,881","00:18:13,007",Very hot stock right now.
367,"00:18:13,091","00:18:14,092","Oh, yeah?"
368,"00:18:14,175","00:18:15,426",They're just a couple of brothers that are making
369,"00:18:15,510","00:18:16,803",radar detectors out of their garage.
370,"00:18:16,886","00:18:17,929",They're out in Dubuque.
371,"00:18:18,012","00:18:19,264",Maybe it's microwaves. I'm not sure.
372,"00:18:19,347","00:18:20,765","But you call the company's main line,"
373,"00:18:20,848","00:18:22,642","their mom, Dorothy, answers and she is so sweet."
374,"00:18:22,725","00:18:24,644",- Good company. - I actually don't know what else to...
375,"00:18:24,727","00:18:27,313",I don't know anything else about them other than that.
376,"00:18:27,397","00:18:28,940",Six cents a share?
377,"00:18:29,732","00:18:31,985","Hey, come on. Who buys this crap?"
378,"00:18:32,151","00:18:33,194","Well, I mean..."
379,"00:18:33,486","00:18:34,612","Honestly, mostly schmucks."
380,"00:18:34,696","00:18:36,698","Postmen, there's always postmen."
381,"00:18:36,823","00:18:38,700",Plumbers.
382,"00:18:38,783","00:18:41,828",They see our ads in the back of <i>Hustler</i> and <i>Popular Mechanics</i>.
383,"00:18:41,911","00:18:44,747",Our ads actually say they can get rich quick.
384,"00:18:44,914","00:18:46,040",- <i>Hustler</i>? - Yeah.
385,"00:18:46,124","00:18:47,333","You know, those girlie magazines."
386,"00:18:47,417","00:18:48,876","Yeah, yeah. Nudie mag."
387,"00:18:49,002","00:18:50,086",- A lot. - Yeah.
388,"00:18:50,211","00:18:51,796","We're helping them finance houses,"
389,"00:18:51,879","00:18:53,798",we're helping them buy their wife a diamond ring...
390,"00:18:53,881","00:18:54,924",A boat maybe.
391,"00:18:55,049","00:18:57,885",Is this... Is this stuff regulated or are you guys...
392,"00:18:57,969","00:18:59,053",What are you doing here?
393,"00:19:01,848","00:19:02,932",Sort of.
394,"00:19:03,182","00:19:04,225",Sort of?
395,"00:19:06,311","00:19:08,479","Jesus Christ, the spread on these is huge."
396,"00:19:08,563","00:19:09,814","Yeah. And that's the point, that's..."
397,"00:19:09,897","00:19:10,982",What's your name again?
398,"00:19:11,065","00:19:12,400",Mine... Jordan Belfort.
399,"00:19:12,567","00:19:14,319","Jordan, what do you get on that blue chip stock?"
400,"00:19:14,444","00:19:17,405",I make one percent. Or I did make one percent.
401,"00:19:17,488","00:19:19,324","Pink sheets, it's 50."
402,"00:19:22,201","00:19:23,578",It's 50%?
403,"00:19:24,412","00:19:25,788",50% commission?
404,"00:19:26,080","00:19:27,582",- Yup. - For what?
405,"00:19:27,915","00:19:29,792",It's our markup for our services.
406,"00:19:31,252","00:19:32,587",And so if I... If I...
407,"00:19:32,670","00:19:36,716","If I sell a stock at $10,000, my commission is 5,000 bucks?"
408,"00:19:37,175","00:19:39,344","If you sell $10,000 worth of this stock,"
409,"00:19:39,427","00:19:42,013",I will personally give you a blowjob for free.
410,"00:19:43,598","00:19:45,475",And I hope it happens.
411,"00:19:47,477","00:19:49,103","<i>Hello, John, how are you doing today?</i>"
412,"00:19:49,270","00:19:51,814",You mailed in my company a postcard a few weeks back
